公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
北京小米科技有限责任公司,小米,2000人以上,D轮及以上,江夏区,大数据开发工程师 - 机器学习方向,不限,本科,20k-40k,MIOT
北京广通信达软件股份有限公司杭州分公司,广通软件,150-500人,上市公司,武昌区,技术支持工程师,1-3年,不限,10k-15k,"五险一金,绩效奖金,定期体检,节假日福利"
咸宁方片互动网络有限公司,方片互动,50-150人,天使轮,洪山区,PHP中级开发工程师,1-3年,大专,8k-13k,"五险一金,单人单间,年终奖金,免费班车"
北京阿博茨科技有限公司,阿博茨科技,150-500人,A轮,洪山区,IT运维工程师,5-10年,本科,6k-12k,弹性工作
武汉维格英科技有限公司,维格英科技,15-50人,未融资,武昌区,.net开发工程师,3-5年,大专,8k-12k,"团队年轻化,工作氛围好,扁平化管理"
威讯柏睿数据科技（北京）有限公司,柏睿数据,50-150人,B轮,洪山区,大数据研发工程师Java,5-10年,硕士,15k-18k,"大数据,五险一金"
软澈（武汉）信息技术有限公司,软澈信息,少于15人,不需要融资,江汉区,后端工程师,1-3年,不限,4k-8k,"弹性工作,五险一金,氛围融洽"
北京奇安信科技有限公司,360企业安全,2000人以上,不需要融资,洪山区,大数据开发工程师(000646),3-5年,本科,15k-25k,"大数据平台,精英团队,弹性工作,股票期权"
武汉斗鱼网络科技有限公司,斗鱼直播,2000人以上,D轮及以上,洪山区,安全开发工程师,不限,本科,9k-18k,"六险一金,双休,零食水果"
贵阳高登世德金融科技有限公司,高登世德金融科技,50-150人,A轮,武昌区,前端工程师,3-5年,本科,6k-10k,"周末双休,五险一金,扁平管理,带薪假期"
北京天融信网络安全,北京天融信公司,2000人以上,上市公司,东湖新技术开发区,Web前端开发实习生,应届毕业生,本科,3k-4k,五险一金
北京升鑫网络科技有限公司,青藤云安全,15-50人,A轮,东湖新技术开发区,测试开发工程师,3-5年,本科,10k-20k,"五险一金,扁平化管理,弹性工时,双休"
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,洪山区,前端开发工程师,1-3年,本科,15k-25k,六险一金，弹性工作，免费三餐，租房补贴，带薪休假，职业大牛
北京云英传奇技术有限公司,CloudIn,50-150人,A轮,洪山区,研发总监（大数据）,10年以上,本科,30k-50k,"武汉负责人,五险一金,期权"
湖北华中电力科技开发有限责任公司,华电科技,150-500人,不需要融资,东湖新技术开发区,云计算工程师,1-3年,本科,6k-10k,"大平台,待遇优,环境优越,学习机会多"
北京小米科技有限责任公司,小米,2000人以上,D轮及以上,江夏区,软件研发工程师（DEV）,不限,本科,15k-30k,"晋升空间大,大牛云集,各种福利"
咸宁方片互动网络有限公司,方片互动,50-150人,天使轮,武汉经济技术开发区,php高级开发工程师,5-10年,大专,13k-20k,"健身房,核心研发岗,H5游戏,期权鼓励"
北京奇安信科技有限公司,360企业安全,2000人以上,不需要融资,东湖新技术开发区,后端开发工程师(000678),3-5年,不限,15k-30k,"精英团队,极客氛围,福利待遇好,管理规范"
软澈（武汉）信息技术有限公司,软澈信息,少于15人,不需要融资,江汉区,高级后端工程师,3-5年,不限,6k-12k,"弹性工作,五险一金,氛围融洽"
